,services
79,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5000, 'cost_to_pay': 5000, 'manual_cost': 5000, 'cost_per_unit': 5000, 'discount': 0, 'first_cost': 5000, 'amount': 1}]"
80,[]
81,[]
82,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
83,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
84,"[{'id': 10922859, 'title': 'Мужская Коррекция осанки/40 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}, {'id': 10922877, 'title': 'Экспресс массаж лица/30 мин', 'cost': 2000, 'cost_to_pay': 2000, 'manual_cost': 2000, 'cost_per_unit': 2000, 'discount': 0, 'first_cost': 2000, 'amount': 1}]"
85,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
86,[]
87,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
88,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
89,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
90,[]
91,[]
92,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}, {'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}]"
93,[]
94,[]
95,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 4950, 'cost_per_unit': 5500, 'discount': 10, 'first_cost': 5500, 'amount': 1}]"
96,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 4000, 'cost_per_unit': 4000, 'discount': 0, 'first_cost': 4000, 'amount': 1}]"
97,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 4050, 'cost_per_unit': 4500, 'discount': 10, 'first_cost': 4500, 'amount': 1}]"
98,[]
99,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}, {'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}]"
100,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
101,"[{'id': 10922860, 'title': 'Мужское Моделирование лица и тела/120 мин', 'cost': 6500, 'cost_to_pay': 6500, 'manual_cost': 6500, 'cost_per_unit': 6500, 'discount': 0, 'first_cost': 6500, 'amount': 1}]"
102,[]
103,"[{'id': 10922876, 'title': 'Чёткий контур + Буккальная техника/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
104,[]
105,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
106,[]
107,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
108,"[{'id': 10922885, 'title': 'Моделирование тела/90 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 0, 'cost_per_unit': 4500, 'discount': 100, 'first_cost': 4500, 'amount': 1}, {'id': 10922887, 'title': 'массаж рук и стоп/20 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 0, 'cost_per_unit': 0, 'discount': 0, 'first_cost': 0, 'amount': 1}]"
109,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
110,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
111,[]
112,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 0, 'cost_per_unit': 0, 'discount': 0, 'first_cost': 0, 'amount': 1}, {'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
113,[]
114,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
115,[]
116,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
117,"[{'id': 10922860, 'title': 'Мужское Моделирование лица и тела/120 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
118,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
119,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 0, 'cost_per_unit': 0, 'discount': 100, 'first_cost': 0, 'amount': 1}, {'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
120,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
121,[]
122,"[{'id': 10922874, 'title': 'Ручной лифтинг лица/90 мин', 'cost': 2000, 'cost_to_pay': 2000, 'manual_cost': 2000, 'cost_per_unit': 2000, 'discount': 0, 'first_cost': 2000, 'amount': 1}]"
123,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
124,[]
125,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 4950, 'cost_per_unit': 5500, 'discount': 10, 'first_cost': 5500, 'amount': 1}]"
126,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
127,[]
128,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 4050, 'cost_per_unit': 4500, 'discount': 10, 'first_cost': 4500, 'amount': 1}]"
129,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
130,[]
131,"[{'id': 10922884, 'title': 'Моделирование тела/60 мин', 'cost': 4000, 'cost_to_pay': 4000, 'manual_cost': 4000, 'cost_per_unit': 4000, 'discount': 0, 'first_cost': 4000, 'amount': 1}]"
132,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
133,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 800, 'cost_to_pay': 800, 'manual_cost': 800, 'cost_per_unit': 800, 'discount': 0, 'first_cost': 800, 'amount': 1}, {'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
134,"[{'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}]"
135,[]
136,"[{'id': 10922884, 'title': 'Моделирование тела/60 мин', 'cost': 4000, 'cost_to_pay': 4000, 'manual_cost': 4000, 'cost_per_unit': 4000, 'discount': 0, 'first_cost': 4000, 'amount': 1}]"
137,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 4950, 'cost_per_unit': 5500, 'discount': 10, 'first_cost': 5500, 'amount': 1}]"
138,[]
139,"[{'id': 10922874, 'title': 'Ручной лифтинг лица/90 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
140,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 0, 'cost_per_unit': 0, 'discount': 0, 'first_cost': 0, 'amount': 1}, {'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 3000, 'cost_to_pay': 3000, 'manual_cost': 3000, 'cost_per_unit': 3000, 'discount': 0, 'first_cost': 3000, 'amount': 1}]"
141,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
142,[]
143,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
144,[]
145,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
146,"[{'id': 10922869, 'title': 'Первый визит: диагностика + моделирование лицо/тело (одна зона) / 30 мин.', 'cost': 990, 'cost_to_pay': 990, 'manual_cost': 990, 'cost_per_unit': 990, 'discount': 0, 'first_cost': 990, 'amount': 1}]"
147,"[{'id': 10922874, 'title': 'Ручной лифтинг лица/90 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
148,[]
149,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
150,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 800, 'cost_to_pay': 800, 'manual_cost': 800, 'cost_per_unit': 800, 'discount': 0, 'first_cost': 800, 'amount': 1}, {'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
151,"[{'id': 10863866, 'title': 'Услуга', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 0, 'cost_per_unit': 0, 'discount': 0, 'first_cost': 0, 'amount': 1}, {'id': 10922881, 'title': 'Коррекция осанки/40 мин', 'cost': 3000, 'cost_to_pay': 3000, 'manual_cost': 3000, 'cost_per_unit': 3000, 'discount': 0, 'first_cost': 3000, 'amount': 1}]"
152,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
153,"[{'id': 10922872, 'title': 'Ручной лифтинг лица+коррекция осанки/90 мин', 'cost': 4500, 'cost_to_pay': 4500, 'manual_cost': 4500, 'cost_per_unit': 4500, 'discount': 0, 'first_cost': 4500, 'amount': 1}]"
154,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 800, 'cost_to_pay': 800, 'manual_cost': 800, 'cost_per_unit': 800, 'discount': 0, 'first_cost': 800, 'amount': 1}, {'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
155,[]
156,[]
157,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2000, 'cost_to_pay': 2000, 'manual_cost': 2000, 'cost_per_unit': 2000, 'discount': 0, 'first_cost': 2000, 'amount': 1}]"
158,[]
159,[]
160,"[{'id': 10922915, 'title': 'штраф 500 р', 'cost': 0, 'cost_to_pay': 0, 'manual_cost': 0, 'cost_per_unit': 500, 'discount': 0, 'first_cost': 0, 'amount': 0}]"
161,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 5500, 'cost_to_pay': 5500, 'manual_cost': 5500, 'cost_per_unit': 5500, 'discount': 0, 'first_cost': 5500, 'amount': 1}]"
162,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
163,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
164,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
165,"[{'id': 10922851, 'title': 'Альгинатная маска', 'cost': 800, 'cost_to_pay': 800, 'manual_cost': 800, 'cost_per_unit': 800, 'discount': 0, 'first_cost': 800, 'amount': 1}]"
166,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
167,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}]"
168,"[{'id': 10922884, 'title': 'Моделирование тела/60 мин', 'cost': 2000, 'cost_to_pay': 2000, 'manual_cost': 2000, 'cost_per_unit': 2000, 'discount': 0, 'first_cost': 2000, 'amount': 1}]"
169,"[{'id': 10922873, 'title': 'Ручной лифтинг лица/60 мин', 'cost': 1500, 'cost_to_pay': 1500, 'manual_cost': 1500, 'cost_per_unit': 1500, 'discount': 0, 'first_cost': 1500, 'amount': 1}]"
170,"[{'id': 10922876, 'title': 'Чёткий контур + Буккальная техника/60 мин', 'cost': 2500, 'cost_to_pay': 2500, 'manual_cost': 2500, 'cost_per_unit': 2500, 'discount': 0, 'first_cost': 2500, 'amount': 1}]"
171,"[{'id': 10922882, 'title': 'Моделирование лица и тела/120 мин', 'cost': 3500, 'cost_to_pay': 3500, 'manual_cost': 3500, 'cost_per_unit': 3500, 'discount': 0, 'first_cost': 3500, 'amount': 1}]"
